location_id,depth,Unit,sample_id,d13C,d15N,C,N,C/N,LOI,MS,Hg,P,S,Cl,K,Ca,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,As,Zr,Mo,Ag,Cd,Sn,Sb,W,Pb,Bi,Se,Rb,Sr,Y,Nb,Ba,La,Ce,Pr,Nd,Sm,Hg-XRF,Th,U,Fe/Mn
LL PC2,1,Unit 3,LL 132,-28.47,1.7,8.07,0.53,15.35,17.24137931,,,ND,2605,878,15610,5572,5095,92,67,489,26019,10,ND,21,84,9,270,0,ND,ND,4,ND,ND,8,1,ND,90,109,31,20,476,58,123,ND,191,ND,3,59,3,53.20858896
LL PC2,5,Unit 3,LL-128,,,,,,17.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,6,Unit 3,LL 127,-28.48,1.67,8.29,0.53,15.63,,,,ND,1661,639,15316,5529,4916,88,66,512,25254,10,ND,14,75,9,236,1,ND,ND,5,ND,0,7,ND,ND,87,105,28,18,516,49,70,ND,233,29,1,52,3,49.32421875
LL PC2,6,Unit 3,LL-127A,-28.75,1.88,8.61,0.54,16.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,10,Unit 2,LL-123A,,,,,,86.95652174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,10,Unit 2,LL-123B,,,,,,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,11,Unit 2,LL 122 A,-27.23,0.84,41.05,1.71,23.97,,,,ND,33879,2354,2524,39155,797,88,25,1166,38365,12,ND,ND,79,74,24,6,26,1,ND,ND,ND,ND,ND,ND,18,355,20,29,635,ND,89,ND,27,ND,ND,26,10,32.90308748
LL PC2,11,Unit 2,LL 122 B,,,,,,,,,ND,22220,1079,9797,21342,3164,98,54,822,31211,11,ND,3,79,27,272,1,8,ND,4,4,ND,5,ND,ND,82,172,27,24,525,46,ND,ND,295,ND,2,82,4,37.96958637
LL PC2,11,Unit 2,LL 122 C1,,,,,,,,,ND,23939,1070,13254,16815,3263,89,65,718,33985,13,ND,1,92,58,150,6,15,ND,3,ND,ND,1,ND,ND,67,223,21,22,567,27,99,ND,ND,18,2,59,5,47.33286908
LL PC2,11,Unit 2,LL 122 C2,,,,,,,,,ND,24647,1057,13442,16951,3254,91,61,711,34113,14,ND,4,96,58,152,5,16,ND,ND,ND,ND,3,ND,ND,66,224,22,23,573,ND,27,ND,241,4,ND,73,6,47.97890295
LL PC2,11,Unit 2,LL 122 C3,,,,,,,,,ND,24787,995,13491,16857,3217,88,64,707,34008,13,ND,3,97,62,153,6,11,ND,0,2,ND,2,ND,ND,68,216,20,20,563,73,ND,ND,406,2,ND,88,5,48.10183876
LL PC2,16,Unit 2,LL 117,,,,,,,,,ND,22521,563,1169,40525,800,107,20,998,19418,6,ND,ND,22,21,16,3,29,ND,8,ND,ND,ND,ND,ND,12,483,19,26,974,47,ND,ND,ND,9,ND,ND,14,19.45691383
LL PC2,16,Unit 2,LL-117,-27.34,0.62,42.85,2,21.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LL PC2,16,Unit 2,LL-117,,,,,,91.66666667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
